reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vTLd64	kTLd64_1	lin	5.82e-05	5.82e-05	5.82e-05	0
vTLd65	kTLd65_1	lin	9.63e-05	9.63e-05	9.63e-05	0
vTLd66	kTLd66_1	lin	6.51e-06	6.51e-06	6.51e-06	0
vTLd67	kTLd67_1	lin	1.12e-05	1.12e-05	1.12e-05	0
vTLd68	kTLd68_1	lin	6.22e-06	6.22e-06	6.22e-06	0
vTLd69	kTLd69_1	lin	4.81e-06	4.81e-06	4.81e-06	0
vTLd70	kTLd70_1	lin	4.39e-06	4.39e-06	4.39e-06	0
vTLd71	kTLd71_1	lin	8.99e-06	8.99e-06	8.99e-06	0
vTLd72	kTLd72_1	lin	6.78e-06	6.78e-06	6.78e-06	0
vTLd73	kTLd73_1	lin	6.86e-06	6.86e-06	6.86e-06	0
vTLd74	kTLd74_1	lin	2.49e-06	2.49e-06	2.49e-06	0
vTLd75	kTLd75_1	lin	9.62e-06	9.62e-06	9.62e-06	0
vTLd76	kTLd76_1	lin	9.62e-06	9.62e-06	9.62e-06	0
vTLd77	kTLd77_1	lin	2.22e-06	2.22e-06	2.22e-06	0
vTLd78	kTLd78_1	lin	0.000257	0.000257	0.000257	0
vTLd79	kTLd79_1	lin	3.23e-06	3.23e-06	3.23e-06	0
vTLd80	kTLd80_1	lin	0.000257	0.000257	0.000257	0
vTLd81	kTLd81_1	lin	0.000257	0.000257	0.000257	0
vTLd82	kTLd82_1	lin	8.89e-05	8.89e-05	8.89e-05	0
vTLd83	kTLd83_1	lin	0.000385	0.000385	0.000385	0
vTLd84	kTLd84_1	lin	1.34e-05	1.34e-05	1.34e-05	0
vTLd85	kTLd85_1	lin	1.45e-06	1.45e-06	1.45e-06	0
vTLd86	kTLd86_1	lin	5.75e-06	5.75e-06	5.75e-06	0
vTLd87	kTLd87_1	lin	7.01e-06	7.01e-06	7.01e-06	0
vTLd88	kTLd88_1	lin	7.24e-06	7.24e-06	7.24e-06	0
vTLd89	kTLd89_1	lin	5.16e-06	5.16e-06	5.16e-06	0
vTLd90	kTLd90_1	lin	5.85e-06	5.85e-06	5.85e-06	0
vTLd91	kTLd91_1	lin	3.68e-06	3.68e-06	3.68e-06	0
vTLd92	kTLd92_1	lin	5.35e-06	5.35e-06	5.35e-06	0
vTLd93	kTLd93_1	lin	3.18e-06	3.18e-06	3.18e-06	0
vTLd94	kTLd94_1	lin	5.93e-07	5.93e-07	5.93e-07	0
vTLd95	kTLd95_1	lin	3.43e-06	3.43e-06	3.43e-06	0
vTLd96	kTLd96_1	lin	4.15e-06	4.15e-06	4.15e-06	0
vTLd97	kTLd97_1	lin	8.4e-06	8.4e-06	8.4e-06	0
vTLd98	kTLd98_1	lin	2.55e-05	2.55e-05	2.55e-05	0
vTLd99	kTLd99_1	lin	6.41e-06	6.41e-06	6.41e-06	0
vTLd100	kTLd100_1	lin	3.03e-05	3.03e-05	3.03e-05	0
vTLd101	kTLd101_1	lin	5e-06	5e-06	5e-06	0
vTLd102	kTLd102_1	lin	1.67e-06	1.67e-06	1.67e-06	0
vE1	kE1_1	lin	0.001	0.001	0.001	0
vE2	kE2_1	lin	0.1	0.1	0.1	0
vE3	kE3_1	lin	0.000211	0.000211	0.000211	0
vE4	kE4_1	lin	1.67e-06	1.67e-06	1.67e-06	0
vE5	kE5_1	lin	1.67e-06	1.67e-06	1.67e-06	0
vD1	kD1_1	lin	0.0	0.0	0.0	0
vD2	kD2_1	lin	1.39e-06	1.39e-06	1.39e-06	0
vD3	kD3_1	lin	0.0005	0.0005	0.0005	0
vD3	kD3_2	lin	0.00278	0.00278	0.00278	0
vD3	kD3_3	lin	4.0	4.0	4.0	0
vD3	kD3_4	lin	1000.0	1000.0	1000.0	0
vD4	kD4_1	lin	3.89e-08	3.89e-08	3.89e-08	0
vD5	kD5_1	lin	0.000556	0.000556	0.000556	0
vD6	kD6_1	lin	3.89e-07	3.89e-07	3.89e-07	0
vD7	kD7_1	lin	0.0	0.0	0.0	0
vD8	kD8_1	lin	0.0	0.0	0.0	0
vD9	kD9_1	lin	1.39e-07	1.39e-07	1.39e-07	0
vD10	kD10_1	lin	2.78e-08	2.78e-08	2.78e-08	0
vD11	kD11_1	lin	0.000278	0.000278	0.000278	0
vD12	kD12_1	lin	0.0	0.0	0.0	0
vD13	kD13_1	lin	0.000194	0.000194	0.000194	0
vD14	kD14_1	lin	2.78	2.78	2.78	0
vD14	kD14_2	lin	20.0	20.0	20.0	0
vD14	kD14_3	lin	2.0	2.0	2.0	0
vD15	kD15_1	lin	0.0139	0.0139	0.0139	0
vD15	kD15_2	lin	4.0	4.0	4.0	0
vD15	kD15_3	lin	200.0	200.0	200.0	0
vD16	kD16_1	lin	0.00208	0.00208	0.00208	0
vD17	kD17_1	lin	1.25	1.25	1.25	0
vD17	kD17_2	lin	20.0	20.0	20.0	0
vD17	kD17_3	lin	2.0	2.0	2.0	0
vD18	kD18_1	lin	0.00208	0.00208	0.00208	0
vD19	kD19_1	lin	122.0	122.0	122.0	0
vD20	kD20_1	lin	122.0	122.0	122.0	0
vD21	kD21_1	lin	211.0	211.0	211.0	0
vD22	kD22_1	lin	211.0	211.0	211.0	0
vD23	kD23_1	lin	12.9	12.9	12.9	0
vD24	kD24_1	lin	12.9	12.9	12.9	0
vD25	kD25_1	lin	1210.0	1210.0	1210.0	0
vD26	kD26_1	lin	1210.0	1210.0	1210.0	0
vD27	kD27_1	lin	48.6	48.6	48.6	0
vD28	kD28_1	lin	48.6	48.6	48.6	0
vD29	kD29_1	lin	111.0	111.0	111.0	0
vD30	kD30_1	lin	111.0	111.0	111.0	0
vD31	kD31_1	lin	15.3	15.3	15.3	0
vD32	kD32_1	lin	15.3	15.3	15.3	0
vD33	kD33_1	lin	292.0	292.0	292.0	0
vD34	kD34_1	lin	292.0	292.0	292.0	0
vD35	kD35_1	lin	363.0	363.0	363.0	0
vD36	kD36_1	lin	363.0	363.0	363.0	0
vD37	kD37_1	lin	479.0	479.0	479.0	0
vD38	kD38_1	lin	479.0	479.0	479.0	0
vD39	kD39_1	lin	289.0	289.0	289.0	0
vD40	kD40_1	lin	289.0	289.0	289.0	0
vD41	kD41_1	lin	441.0	441.0	441.0	0
vD42	kD42_1	lin	441.0	441.0	441.0	0
vD43	kD43_1	lin	595.0	595.0	595.0	0
