speciesId	compartment	initialConcentration (nM)	solver
cyt_prot__EGF_1__EGFR_1__EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB3_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB3_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB2_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB4_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__HGF_1__MET_1__MET_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__PDGFB_1__PGFRB__PGFRB_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__FGF__FGFR__FGFR_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__IGF1R_1__IGF1R_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__INS_1__INSR_1__INSR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__HGF_1__MET_1__HGF_1__MET_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__PDGFB_1__PGFRB__PDGFB_1__PGFRB_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__FGF__FGFR__FGF__FGFR_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__IGF1R_1__IGF__IGF1R_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__INS_1__INSR_1__INS_1__INSR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__EGFR_1__p_p_ERK_	Cytoplasm	0.495555753500000	Deterministic
cyt_cong__ERBB2_1__p_p_ERK_	Cytoplasm	0.037620985430000	Deterministic
cyt_cong__ERBB4_1__p_p_ERK_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__p_ERBB2_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__p_EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__EGF_1__p_EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__p_ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__NRG1_1__p_ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__p_EGFR_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__p_ERBB2_1__NRG1_1__p_ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__p_EGFR_1__NRG1_1__p_ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1___p_ERBB3_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__p_ERBB3_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__p_ERBB2_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__p_EGFR_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__p_ERBB3_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__p_ERBB4_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__p_ERBB4_1__NRG1_1__p_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__HGF_1__p_MET_1__p_MET_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__HGF_1__p_MET_1__HGF_1__p_MET_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__PDGFB_1__p_PGFRB__PDGFB_1__p_PGFRB_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__PDGFB_1__p_PGFRB__p_PGFRB_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__FGF__p_FGFR__FGF__p_FGFR_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__FGF__p_FGFR__p_FGFR_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__p_IGF1R_1__p_IGF1R_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__INS_1__p_INSR_1__p_INSR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__p_IGF1R_1__p_IGF1R_1__IGF_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__INS_1__p_INSR_1__p_INSR_1__INS_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__p_IGF1R_1__p_IGF1R_1__IRS_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__INS_1__p_INSR_1__p_INSR_1__IRS_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__IGF__p_IGF1R_1__p_IGF1R_1__IGF__IRS_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__INS_1__p_INSR_1__p_INSR_1__INS_1__IRS_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__ERBB2_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__EGF_1__EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
